,客户名称,2019-04-29,生效起始日,生效截至日,2019-04-30,2019-04-30变动
0,一汽财务有限公司,2900316561.67,20181219,20191231,2883941265.05,-16375296.619999886
1,三井住友银行（中国）,229222222.22,20140418,20161230,229222222.22,0.0
2,三菱东京日联银行（中国）,222222222.22,20140925,20160930,222222222.22,0.0
3,三门峡银行股份有限公司,1.11,20140221,20151230,1.11,0.0
4,上海农村商业银行股份有限公司,591842925.4,20111114,20191031,590653115.13,-1189810.269999981
5,上海华瑞银行股份有限公司,5989400.0,20171211,20191130,4989400.0,-1000000.0
6,上海汽车集团财务有限责任公司,9839188067.93,20180122,20190930,9840188067.93,1000000.0
7,上海浦东发展银行股份有限公司,1025042451.03,20100527,20190930,948673157.72,-76369293.30999994
8,上海电气集团财务有限责任公司,127777404.62,20100915,20190930,125817274.81,-1960129.8100000024
9,上海银行股份有限公司,2422.56,20100914,20191030,69871066.32,69868643.75999999
10,上饶银行股份有限公司,357607083.18,20110908,20191031,354404801.63,-3202281.550000012
11,东亚银行（中国）,21842013.0,20100914,20190325,22142013.0,300000.0
12,东莞农村商业银行股份有限公司,1297862777.46,20131225,20190930,1297597831.46,-264946.0
13,东莞银行股份有限公司,4107731.18,20100915,20191031,8214989.53,4107258.35
14,东营银行股份有限公司,4739663.28,20100915,20191030,6239663.28,1500000.0
15,中交财务有限公司,527535643.31,20160503,20191130,543977063.31,16441419.99999994
16,中信信托,1.0,20100915,20120703,1.0,0.0
17,中信财务有限公司,100031278.72,20160503,20191130,100031278.72,0.0
18,中信银行股份有限公司,695279551.94,20100527,20190930,950635201.57,255355649.63
19,中化工程集团财务有限公司,0.01,20160509,20181227,0.01,0.0
20,中原银行股份有限公司,554874441.16,20150407,20191231,533953041.16,-20921399.99999994
21,中国光大银行股份有限公司,788592691.53,20100527,20190930,513511977.34,-275080714.19
22,中国农业发展银行,4469600000.0,20100914,20190930,4469600000.0,0.0
23,中国农业银行股份有限公司,1468359925.78,20100527,20190930,1254191639.34,-214168286.44000006
24,中国华电集团财务有限公司,364637975.13,20100915,20191030,359637975.13,-5000000.0
25,中国华能财务有限责任公司,13676.05,20141118,20190930,13676.05,0.0
26,中国大唐集团财务有限公司,27236115.94,20140916,20190930,30236115.94,3000000.0
27,中国工商银行股份有限公司,1126487205.74,20100527,20190930,1136267186.45,9779980.710000038
28,中国建设银行股份有限公司,1632462444.63,20100527,20190930,1555165623.84,-77296820.7900002
29,中国民生银行股份有限公司,98552906.71,20100527,20190930,376589.9,-98176316.80999999
30,中国电力财务,1.0,20100915,20151008,1.0,0.0
31,中国电子科技财务有限责任公司,22645.77,20100915,20190630,79807.86,57162.09
32,中国电子财务有限责任公司,179305719.79,20140418,20190731,179305719.79,0.0
33,中国石化财务有限责任公司,1999763131.0,20190328,20190731,1986750969.25,-13012161.75
34,中国航油集团财务有限公司,200000000.0,20190130,20200130,200000000.0,0.0
35,中国进出口银行,20000000000.0,20100914,20190131,20000000000.0,0.0
36,中国重汽财务有限公司,45242841.0,20101104,20190831,2256660.0,-42986181.0
37,中国铁建财务有限公司,121582.35,20151028,20190930,56851.47,-64730.880000000005
38,中国银行股份有限公司,791092485.48,20100527,20190930,987418219.64,196325734.15999997
39,中山农村商业银行股份有限公司,177619784.22,20140418,20191130,177619784.22,0.0
40,中广核财务有限责任公司,300000000.0,20170830,20190930,300000000.0,0.0
41,中建财务有限公司,300000000.0,20170830,20190930,299500000.0,-500000.0
42,中开财务有限公司,129895083.31,20170316,20190630,129574523.31,-320560.0
43,中德住房储蓄银行有限责任公司,20000000.0,20140418,20190531,20000000.0,0.0
44,中油财务有限责任公司,2000000000.0,20150116,20190831,2000000000.0,0.0
45,中煤财务有限责任公司,1000000000.0,20190326,20200331,1000000000.0,0.0
46,中石化财务,330000000.0,20100915,20151008,330000000.0,0.0
47,中联重科集团财务有限公司,111111111.11,20170830,20170830,111111111.11,0.0
48,中航工业集团财务有限责任公司,100000000.0,20151028,20191231,100000000.0,0.0
49,中船重工财务有限责任公司,777777777.78,20140409,20170930,777777777.78,0.0
50,中节能财务有限公司,3333333.33,20171120,20180930,3333333.33,0.0
51,中车财务有限公司,315745915.94,20160809,20190930,317212315.94,1466400.0
52,中金公司,1.0,20100915,20120703,1.0,0.0
53,中铝财务有限责任公司,3200000.0,20180827,20190320,3200000.0,0.0
54,中集集团财务有限公司,104212.15,20160509,20190531,104212.15,0.0
55,临商银行股份有限公司,533050000.0,20100915,20160630,533050000.0,0.0
56,丹东银行股份有限公司,277777777.78,20150212,20170930,277777777.78,0.0
57,义乌合作银行股份有限公司,10000000.0,20121116,20121116,10000000.0,0.0
58,乌海银行股份有限公司,59711529.2,20100915,20190930,57791529.2,-1920000.0
59,乌鲁木齐银行股份有限公司,21076196.02,20100915,20191030,22076196.02,1000000.0
60,乐山市商业银行股份有限公司,89141.4,20111013,20190930,4589141.4,4500000.0
61,九江农村商业银行股份有限公司,111111111.11,20140218,20150930,111111111.11,0.0
62,九江银行股份有限公司,97074144.49,20100915,20190315,98057490.35,983345.8599999994
63,云南红塔银行股份有限公司,178510000.0,20131225,20191130,178510000.0,0.0
