客户名称,2019-04-28 00:00:00,生效起始日,生效截至日,2019-04-30
国家开发银行,8634144739.0,20100914,20190930,8634144739.04
中国农业发展银行,4469600000.0,20100914,20190930,4469600000.0
中国进出口银行,20000000000.0,20100914,20190131,20000000000.0
兴化农村商业银行股份有限公司,20000000.0,20121116,20121116,20000000.0
驻马店银行股份有限公司,100000000.0,20121116,20121116,100000000.0
义乌合作银行股份有限公司,10000000.0,20121116,20121116,10000000.0
山东广饶农村商业银行股份有限公司,0.01,20121116,20170830,0.01
浙江嵊州农村商业银行股份有限公司,28434457.6,20180919,20190930,28434457.6
国电财务有限公司,475845163.6,20181017,20190930,475845163.6
浙江网商银行股份有限公司,19152901.3,20181206,20191130,19152901.3
中国航油集团财务有限公司,200000000.0,20190130,20200130,200000000.0
朝阳银行股份有限公司,4960266.66,20190130,20190305,4960266.66
江苏银行股份有限公司,26551374.94,20100906,20190930,26551374.94
大华银行,1.0,20100914,20120703,1.0
蒙特利尔银行,100000000.0,20100914,20120914,100000000.0
东亚银行（中国）,21842013.0,20100914,20190325,21842013.0
厦门国际银行股份有限公司,12012925.0,20100914,20190930,12012925.0
郑州银行股份有限公司,285581437.5,20101018,20190327,285581437.48
成都农村商业银行股份有限公司,629912148.4,20130201,20191231,629912148.37
长安银行股份有限公司,2286464.81,20131029,20190930,2286464.81
广东南海农村商业银行股份有限公司,218359955.9,20131029,20191130,218359955.87
宁波通商银行股份有限公司,45529786.12,20140418,20190930,45529786.12
信阳银行股份有限公司,111111111.1,20140611,20151231,111111111.11
浙江富阳农村商业银行股份有限公司,39677890.65,20190109,20191231,39677890.65
浙江永嘉农村商业银行股份有限公司,98673000.0,20190109,20191231,98673000.0
福建莆田农村商业银行股份有限公司,98350000.0,20190109,20191231,98350000.0
山东招金集团财务有限公司,280000000.0,20190109,20190930,280000000.0
南通市商业银行股份有限公司,200000000.0,20100915,20120915,200000000.0
贵阳银行股份有限公司,139257654.0,20100915,20190831,139257654.0
苏州银行股份有限公司,163777263.9,20100915,20190930,163777263.92
长治银行股份有限公司,39000.0,20100915,20191130,39000.0
天津农村商业银行股份有限公司,379077804.0,20100915,20191130,379077803.96
浙江苍南农村合作银行,4333333.33,20100915,20151008,4333333.33
浙江乐清农村商业银行股份有限公司,197046762.2,20100915,20190930,197046762.2
浙江温州瓯海农村商业银行股份有限公司,50357143.8,20100915,20191130,50357143.8
乌海银行股份有限公司,59711529.2,20100915,20190930,59711529.2
北京国际信托,1.0,20100915,20120703,1.0
东莞银行股份有限公司,4107731.18,20100915,20191031,4107731.18
江苏张家港农村商业银行股份有限公司,38739026.75,20100915,20190328,38739026.75
乌鲁木齐银行股份有限公司,21076196.02,20100915,20191030,21076196.02
赣州银行股份有限公司,34945284.02,20100914,20191031,34945284.02
四川天府银行股份有限公司,1869400.25,20100914,20191130,1869400.25
浙江泰隆商业银行股份有限公司,3160979.65,20100914,20190930,3160979.65
浙江民泰商业银行股份有限公司,0.0,20100914,20171016,0.0
中信信托,1.0,20100915,20120703,1.0
中国电力财务,1.0,20100915,20151008,1.0
上海电气集团财务有限责任公司,127777404.6,20100915,20190930,127777404.62
浙江温州鹿城农村商业银行股份有限公司,35385370.0,20100915,20191231,35385370.0
宁波余姚农村商业银行股份有限公司,10962867.22,20100915,20190403,10962867.22
福建海峡银行股份有限公司,12213936.49,20100915,20190930,12213936.49
大同市商业银行,1.0,20100915,20151008,1.0
九江银行股份有限公司,97074144.49,20100915,20190315,97074144.49
泰安银行股份有限公司,11426051.33,20100915,20191031,11426051.33
桂林银行股份有限公司,59218007.09,20100914,20191130,59218007.09
潍坊银行股份有限公司,259055.42,20100914,20190930,259055.42
朝阳市商业银行,1.0,20100914,20120703,1.0
泉州银行股份有限公司,34014046.99,20100914,20190930,34014046.99
金华银行股份有限公司,153170.0,20100914,20190930,153170.0
吉林银行股份有限公司,62789000.0,20100915,20190930,62789000.0
西安银行股份有限公司,435889501.5,20100915,20190930,435889501.53
厦门银行股份有限公司,47483289.78,20100915,20190404,47483289.78
衡水银行股份有限公司,19973.7,20100915,20190731,19973.7
北京农村商业银行股份有限公司,1035039020.0,20100915,20190930,1035039019.74
阜新银行股份有限公司,3056465.0,20100915,20190415,3056465.0
浙江永嘉农村合作银行,100000000.0,20100915,20120915,100000000.0
宁波慈溪农村商业银行股份有限公司,6188565.54,20100915,20190930,6188565.54
兵器装备集团财务有限责任公司,111111111.1,20100915,20170830,111111111.11
中国华电集团财务有限公司,364637975.1,20100915,20191030,364637975.13
国家电投集团财务有限公司,122438651.9,20100915,20190930,122438651.86
铁岭银行股份有限公司,111111111.1,20100915,20150930,111111111.11
葫芦岛银行股份有限公司,280000.0,20100915,20200130,280000.0
珠海格力财务,1.0,20100915,20151008,1.0
中石化财务,330000000.0,20100915,20151008,330000000.0
广西北部湾银行股份有限公司,866736.3,20111013,20191031,866736.3
芜湖扬子农村商业银行股份有限公司,9478853.18,20111114,20190930,9478853.18
华商银行,1111111111.0,20130913,20140928,1111111111.11
吉林九台农村商业银行股份有限公司,4428982.0,20131010,20190930,4428982.0
安阳银行股份有限公司,1.11,20131010,20160120,1.11
合肥科技农村商业银行股份有限公司,6863685.78,20131010,20190930,6863685.78
长春发展农村商业银行股份有限公司,0.01,20131010,20190930,0.01
湖州银行股份有限公司,6700225.0,20150116,20190930,6700225.0
京能集团财务有限公司,5000000.0,20150212,20190711,5000000.0
丹东银行股份有限公司,277777777.8,20150212,20170930,277777777.78
宁波港集团财务有限公司,111111111.1,20150212,20160929,111111111.11
中国建设银行股份有限公司,1632462445.0,20100527,20190930,1632462444.63
中国银行股份有限公司,791092485.5,20100527,20190930,791092485.48
中国工商银行股份有限公司,1126487206.0,20100527,20190930,1126487205.74
平安银行股份有限公司,2485489030.0,20100527,20190930,2485489029.77
作废,1226161348.0,20100527,20120626,1226161348.2
中国农业银行股份有限公司,1468359926.0,20100527,20190930,1468359925.78
中国民生银行股份有限公司,98552906.71,20100527,20190930,98552906.71
广发银行股份有限公司,669860529.1,20100527,20190930,669860529.12
兴业银行股份有限公司,60873565.78,20100527,20190930,60873565.78
中信银行股份有限公司,695279551.9,20100527,20190930,695279551.94
交通银行股份有限公司,698775594.3,20100527,20190930,698775594.34
上海浦东发展银行股份有限公司,1025042451.0,20100527,20190930,1025042451.03
浙商银行股份有限公司,429011571.1,20100527,20190930,429011571.05
华夏银行股份有限公司,546184239.5,20100527,20190930,546184239.51
中国光大银行股份有限公司,788592691.5,20100527,20190930,788592691.53
招商银行股份有限公司,76303218.36,20100527,20190930,76303218.36
友利银行,1.0,20100914,20120703,1.0
新韩银行,202000000.0,20100914,20120703,202000000.0
渣打银行（中国）,332333333.3,20100914,20160930,332333333.33
法国巴黎银行,1.0,20100914,20120703,1.0
南洋商业银行（中国）,444444444.4,20100914,20160629,444444444.44
江西银行股份有限公司,52917702.0,20100914,20190930,52917702.0
杭州银行股份有限公司,151928323.5,20100914,20190329,151928323.54
重庆银行股份有限公司,13670923.84,20100914,20190930,13670923.84
盛京银行股份有限公司,40055819.01,20100914,20191231,40055819.01
宁波银行股份有限公司,149660099.7,20100914,20190930,149660099.68
徽商银行股份有限公司,3088699543.0,20100914,20190930,3088699543.32
台州银行股份有限公司,2042464.81,20100915,20191030,2042464.81
临商银行股份有限公司,533050000.0,20100915,20160630,533050000.0
日照银行股份有限公司,213910000.0,20100915,20181217,213910000.0
齐商银行股份有限公司,985074.98,20100915,20191031,985074.98
青岛银行股份有限公司,318176381.2,20100915,20190409,318176381.19
温州银行股份有限公司,117437287.6,20100915,20191031,117437287.63
绍兴银行股份有限公司,251885555.6,20100915,20180523,251885555.56
富滇银行股份有限公司,409174248.3,20100915,20191231,409174248.28
齐鲁银行股份有限公司,73189128.19,20100915,20191031,73189128.19
江门融和农村商业银行股份有限公司,0.01,20140320,20170830,0.01
大连农村商业银行股份有限公司,76900000.0,20140320,20190930,76900000.0
淮南矿业集团财务有限公司,99800000.0,20140320,20190630,99800000.0
星展银行(中国),111111111.1,20140423,20180930,111111111.11
广东华兴银行股份有限公司,31824541.8,20140805,20190225,31824541.8
天津银行股份有限公司,137975694.0,20100914,20191130,137975693.96
上海银行股份有限公司,2422.56,20100914,20191030,2422.56
南京银行股份有限公司,21575.42,20100914,20190930,21575.42
北京银行股份有限公司,147825653.3,20100914,20191130,147825653.34
华融湘江银行股份有限公司,56304467.16,20120712,20191031,56304467.16
海尔集团财务有限责任公司,1239155.07,20131023,20191130,1239155.07
秦皇岛银行股份有限公司,9485564.35,20131104,20190930,9485564.35
阳泉市商业银行股份有限公司,3333333.33,20131104,20160120,3333333.33
厦门农村商业银行股份有限公司,231155201.9,20131104,20190930,231155201.86
盘锦银行股份有限公司,100000000.0,20160104,20190930,100000000.0
湖南华菱钢铁集团财务有限公司,77777777.78,20160330,20160630,77777777.78
廊坊银行股份有限公司,39333333.33,20161020,20180613,39333333.33
美的集团财务有限公司,455287752.9,20170313,20190218,455287752.93
珠海华发集团财务有限公司,111111111.1,20170313,20170904,111111111.11
浙江温岭农村商业银行股份有限公司,22308744.68,20170313,20191130,22308744.68
哈尔滨农村商业银行股份有限公司,70000000.0,20170313,20190930,70000000.0
中铝财务有限责任公司,3200000.0,20180827,20190320,3200000.0
安徽省能源集团财务有限公司,100000000.0,20180827,20190731,100000000.0
浙江临海农村商业银行股份有限公司,3121652.0,20180830,20190217,3121652.0
重庆三峡银行股份有限公司,8665242.95,20101104,20191031,8665242.95
柳州银行股份有限公司,0.01,20110908,20180630,0.01
攀枝花市商业银行股份有限公司,13500469.98,20110908,20190930,13500469.98
甘肃银行股份有限公司,12379681.77,20130424,20190930,12379681.77
