,_id,出代持,出票,收代持,收票,时间,时间加,机构,统计日期
0,5c432f86cbbc88394cb8f638,1.0,99.0,1.0,86.0,日终,,中介,2017-10-23
1,5c432f86cbbc88394cb8f639,0.0,0.0,0.0,0.0,日终,,中行,2017-10-23
2,5c432f86cbbc88394cb8f63a,0.0,0.0,0.0,1.0,日终,,交行,2017-10-23
3,5c432f86cbbc88394cb8f63b,0.0,1.0,0.0,0.0,日终,,兴业,2017-10-23
4,5c432f86cbbc88394cb8f63c,0.0,11.0,3.0,15.0,日终,,农商,2017-10-23
5,5c432f86cbbc88394cb8f63d,0.0,0.0,0.0,0.0,日终,,农行,2017-10-23
6,5c432f86cbbc88394cb8f63e,0.0,6.0,0.0,5.0,日终,,大商,2017-10-23
7,5c432f86cbbc88394cb8f63f,1.0,12.0,3.0,7.0,日终,,小商,2017-10-23
8,5c432f86cbbc88394cb8f640,0.0,1.0,0.0,0.0,日终,,工行,2017-10-23
9,5c432f86cbbc88394cb8f641,0.0,1.0,0.0,8.0,日终,,平安,2017-10-23
10,5c432f86cbbc88394cb8f642,0.0,2.0,0.0,14.0,日终,,广发,2017-10-23
11,5c432f86cbbc88394cb8f643,0.0,1.0,0.0,1.0,日终,,建行,2017-10-23
12,5c432f86cbbc88394cb8f644,5.0,3.0,0.0,1.0,日终,,招行,2017-10-23
13,5c432f86cbbc88394cb8f645,0.0,2.0,1.0,3.0,日终,,民生,2017-10-23
14,5c432f86cbbc88394cb8f646,0.0,2.0,0.0,1.0,日终,,浙商,2017-10-23
15,5c432f86cbbc88394cb8f647,0.0,2.0,0.0,0.0,日终,,浦发,2017-10-23
16,5c432f86cbbc88394cb8f648,0.0,2.0,0.0,21.0,日终,,邮储,2017-10-23
17,5c432f86cbbc88394cb8f649,2.0,51.0,0.0,74.0,日终,,中介,2017-10-24
18,5c432f86cbbc88394cb8f64a,0.0,1.0,0.0,0.0,日终,,中信,2017-10-24
19,5c432f86cbbc88394cb8f64b,0.0,0.0,0.0,1.0,日终,,交行,2017-10-24
20,5c432f86cbbc88394cb8f64c,0.0,1.0,0.0,3.0,日终,,兴业,2017-10-24
21,5c432f86cbbc88394cb8f64d,0.0,11.0,2.0,16.0,日终,,农商,2017-10-24
22,5c432f86cbbc88394cb8f64e,0.0,1.0,0.0,0.0,日终,,农行,2017-10-24
23,5c432f86cbbc88394cb8f64f,0.0,0.0,0.0,1.0,日终,,华夏,2017-10-24
24,5c432f86cbbc88394cb8f650,1.0,2.0,1.0,2.0,日终,,大商,2017-10-24
