,xuhao,yinhang,fenlei1,fenlei2,fenlei3,过滤
0,119,工行,工行,1,2,2
1,120,工票,工行,1,2,2
2,121,工商,工行,1,2,2
3,122,建行,建行,1,2,2
4,123,建设银行,建行,1,2,2
5,124,交行,交行,1,2,2
6,125,交通银行,交行,1,2,2
7,126,农行,农行,1,2,2
8,129,中行,中行,1,2,2
9,130,广发,广发,1,3,2
10,131,民生,民生,1,3,2
11,132,平安,平安,1,3,2
12,133,招行,招行,1,3,2
13,134,招商,招行,1,3,2
14,135,光大,光大,1,4,2
15,136,华夏,华夏,1,4,2
16,137,浦发,浦发,1,4,2
17,138,兴业,兴业,1,4,2
18,139,浙商,浙商,1,4,2
19,140,中信,中信,1,4,2
20,141,邮储,邮储,1,2,2
21,143,联社,农商,1,6,2
22,144,村镇,农商,1,6,2
23,145,农商,农商,1,6,2
24,146,上银,城商,1,5,2
25,147,徽商,城商,1,5,2
26,127,农业银行,农行,1,2,2
27,128,中国银行,中行,1,2,2
28,142,邮政储蓄,邮储,1,2,2
29,148,"[\u4e00-\u9fa5]{2,4}?银行",城商,1,5,2
