,日期,6个月存单利率b,12月f,7天质押加权利率,7天同存加权利率
7,2018-01-11,4.6793650793650805,5.0,3.4292,3.4289
8,2018-01-12,4.7,5.04,3.3848,3.334
9,2018-01-15,4.75,5.05,3.4427,2.9916
10,2018-01-16,4.75,5.12,3.4043,3.2899
11,2018-01-17,4.75,5.35,3.72,3.7466
12,2018-01-18,4.750000000000001,5.4,3.8133,3.504
13,2018-01-19,4.84,5.16,3.3619,3.4187
14,2018-01-22,4.85,5.1,3.2366,3.319
15,2018-01-23,4.848148148148147,5.13,3.128,3.2264
16,2018-01-24,4.835,5.18,3.0726,3.201
17,2018-01-25,4.85,5.3,3.3646,3.1727
18,2018-01-26,4.868947368421052,5.2,3.3397,3.2804
22,2018-02-01,4.865324123273114,5.1,2.9119,3.1907
23,2018-02-02,4.85,5.1,2.8922,3.1959
24,2018-02-05,4.840406976744186,5.15,2.8505,3.1363
25,2018-02-06,4.858072727272727,5.1,2.8942,3.1008
26,2018-02-07,4.80983606557377,5.08,2.8692,3.0135
27,2018-02-08,4.8,5.07,3.0634,3.8302
28,2018-02-09,4.7879861111111115,5.1,3.0154,3.2917
29,2018-02-11,4.7879861111111115,5.1,2.9089,3.3382
30,2018-02-12,4.792753623188406,5.12,3.1647,4.0267
31,2018-02-22,4.78,5.15,3.2644,3.4359
32,2018-02-23,4.8,5.18,3.1533,3.1032
33,2018-02-24,4.75,5.18,2.8962,3.0728
34,2018-02-26,4.75,5.2,3.323,3.087
37,2018-03-01,4.75,5.18,3.22,3.6745
38,2018-03-02,4.8387596899224805,5.2,3.2782,3.3716
39,2018-03-05,4.849999999999999,5.26,3.2964,3.3955
40,2018-03-06,4.85,5.28,3.206,3.3587
41,2018-03-07,4.9,5.28,3.0619,3.315
42,2018-03-08,4.873719165085389,5.3,3.0066,3.245
43,2018-03-09,4.899832775919733,5.28,2.9668,3.1314
44,2018-03-12,4.8981150631044095,5.3,3.0477,3.1683
45,2018-03-14,4.8,5.5,3.0477,3.1683
46,2018-03-19,4.826061776061777,5.56,3.0577,3.2927
47,2018-03-21,4.7,5.58,3.0669,3.375
48,2018-03-22,4.6481818181818175,5.5,3.02,3.4494
49,2018-03-23,4.578730158730159,5.4,3.02,3.4494
50,2018-03-26,4.394334975369459,5.34,3.56,3.3258
54,2018-04-02,4.15,5.05,3.0314,3.3693
55,2018-04-03,4.15,5.0,3.0151,3.2473
56,2018-04-04,4.2,5.0,2.809,3.128
57,2018-04-08,4.387422680412372,4.98,2.809,3.128
58,2018-04-09,4.387422680412372,4.98,2.809,3.128
59,2018-04-10,4.387422680412372,5.02,2.809,3.128
