,加权利率,品种,品种2,日期,时间,最新利率
0,2.3753,DIBO001,0,09-24,17:00,2.3600
1,2.6220,DIBO007,0,09-24,17:00,3.2900
2,3.0069,DR014,1,09-24,17:00,3.0100
3,3.6136,DIBO1M,0,09-24,17:00,4.5500
4,2.8000,DR3M,1,09-26,17:00,2.8000
5,3.4500,DR4M,1,09-26,17:00,3.4500
6,1.6446,DIBO001,0,09-26,17:00,1.6500
7,2.5741,DIBO007,0,09-26,17:00,2.9000
8,3.0223,DIBO014,0,09-26,17:00,2.8000
9,3.1201,DIBO021,0,09-26,17:00,3.0000
10,2.7616,DIBO1M,0,09-26,17:00,2.7000
11,3.1425,DIBO2M,0,09-26,17:00,3.4000
12,3.0106,DIBO3M,0,09-26,17:00,2.8800
13,3.0000,DIBO4M,0,09-26,17:00,3.0000
14,3.5068,DIBO2M,0,09-24,17:00,3.3000
15,3.7511,DIBO6M,0,09-26,17:00,2.8150
16,4.2000,DIBO9M,0,09-26,17:00,4.2000
17,4.2000,DIBO1Y,0,09-26,17:00,4.2000
18,1.6128,DR001,1,09-26,17:00,1.6000
19,2.4596,DR007,1,09-26,17:00,2.5000
20,2.9681,DR014,1,09-26,17:00,2.9000
21,2.9097,DR021,1,09-26,17:00,2.9500
22,2.8906,DR1M,1,09-26,17:00,2.8000
23,2.8817,DR2M,1,09-26,17:00,2.7500
24,2.8000,DR3M,1,09-26,17:00,2.8000
25,3.6776,DIBO3M,0,09-24,17:00,3.5500
26,3.4500,DR4M,1,09-26,17:00,3.4500
27,1.6446,DIBO001,0,09-26,17:00,1.6500
28,2.5741,DIBO007,0,09-26,17:00,2.9000
29,3.0223,DIBO014,0,09-26,17:00,2.8000
30,3.1201,DIBO021,0,09-26,17:00,3.0000
31,2.7616,DIBO1M,0,09-26,17:00,2.7000
32,3.1425,DIBO2M,0,09-26,17:00,3.4000
33,3.0106,DIBO3M,0,09-26,17:00,2.8800
34,3.0000,DIBO4M,0,09-26,17:00,3.0000
35,3.7511,DIBO6M,0,09-26,17:00,2.8150
36,3.0480,DIBO1Y,0,09-24,17:00,3.0480
37,4.2000,DIBO9M,0,09-26,17:00,4.2000
38,4.2000,DIBO1Y,0,09-26,17:00,4.2000
39,1.6128,DR001,1,09-26,17:00,1.6000
40,2.4596,DR007,1,09-26,17:00,2.5000
41,2.9681,DR014,1,09-26,17:00,2.9000
42,2.9097,DR021,1,09-26,17:00,2.9500
43,2.8906,DR1M,1,09-26,17:00,2.8000
44,2.8817,DR2M,1,09-26,17:00,2.7500
45,2.8000,DR3M,1,09-26,17:00,2.8000
46,3.4500,DR4M,1,09-26,17:00,3.4500
47,2.3484,DR001,1,09-24,17:00,2.3000
48,1.6446,DIBO001,0,09-26,17:00,1.6500
49,2.5741,DIBO007,0,09-26,17:00,2.9000
50,3.0223,DIBO014,0,09-26,17:00,2.8000
51,3.1201,DIBO021,0,09-26,17:00,3.0000
52,2.7616,DIBO1M,0,09-26,17:00,2.7000
53,3.1425,DIBO2M,0,09-26,17:00,3.4000
54,3.0106,DIBO3M,0,09-26,17:00,2.8800
55,3.0000,DIBO4M,0,09-26,17:00,3.0000
56,3.7511,DIBO6M,0,09-26,17:00,2.8150
57,4.2000,DIBO9M,0,09-26,17:00,4.2000
58,2.6040,DR007,1,09-24,17:00,2.3000
59,4.2000,DIBO1Y,0,09-26,17:00,4.2000
60,1.6128,DR001,1,09-26,17:00,1.6000
61,2.4596,DR007,1,09-26,17:00,2.5000
62,2.9681,DR014,1,09-26,17:00,2.9000
63,2.9097,DR021,1,09-26,17:00,2.9500
64,2.8906,DR1M,1,09-26,17:00,2.8000
65,2.8817,DR2M,1,09-26,17:00,2.7500
66,2.8000,DR3M,1,09-26,17:00,2.8000
67,3.4500,DR4M,1,09-26,17:00,3.4500
68,1.6446,DIBO001,0,09-26,17:00,1.6500
69,3.0069,DR014,1,09-24,17:00,3.0100
70,2.5741,DIBO007,0,09-26,17:00,2.9000
71,3.0223,DIBO014,0,09-26,17:00,2.8000
72,3.1201,DIBO021,0,09-26,17:00,3.0000
73,2.7616,DIBO1M,0,09-26,17:00,2.7000
74,3.1425,DIBO2M,0,09-26,17:00,3.4000
75,3.0106,DIBO3M,0,09-26,17:00,2.8800
76,3.0000,DIBO4M,0,09-26,17:00,3.0000
77,3.7511,DIBO6M,0,09-26,17:00,2.8150
78,4.2000,DIBO9M,0,09-26,17:00,4.2000
79,4.2000,DIBO1Y,0,09-26,17:00,4.2000
80,3.0077,DR021,1,09-24,17:00,2.9000
81,1.6128,DR001,1,09-26,17:00,1.6000
82,2.4596,DR007,1,09-26,17:00,2.5000
83,2.9681,DR014,1,09-26,17:00,2.9000
84,2.9097,DR021,1,09-26,17:00,2.9500
85,2.8906,DR1M,1,09-26,17:00,2.8000
86,2.8817,DR2M,1,09-26,17:00,2.7500
