,银行,3月利率,3月发行日,3月发行量,1年利率,1年发行日,1年发行量,6月利率,6月发行日,6月发行量,9月利率,9月发行日,9月发行量,1月利率,1月发行日,1月发行量
0,国家开发银行,,,,,,,,,,,,,,,
1,中国工商银行,,,,,,,,,,,,,,,
2,中国建设银行,,,,,,,,,,,,,,,
3,中国农业银行,,,,,,,,,,,,,,,
4,中国银行,2.43,2019-7-12,2.4,3.05,2019-7-12,13.3,,,,,,,,,
5,交通银行,2.44,2019-7-10,13.7,3.07,2019-7-12,76.6,2.85,2019-4-16,,2.97,2019-7-5,4.2,,,
6,招商银行,,,,3.07,2019-7-12,30,,,,2.96,2019-7-12,1,,,
7,兴业银行,2.5,2019-7-12,10,3.07,2019-7-12,25,,,,2.95,2019-7-12,1,,,
8,中信银行,2.5,2019-7-12,10.6,3.08,2019-7-12,37,2.6,2019-7-4,0.5,2.97,2019-7-11,1,,,
9,上海浦东发展银行,,,,,,,,,,,,,,,
10,中国民生银行,,,,,,,,,,,,,,,
11,中国光大银行,,,,,,,,,,,,,,,
12,平安银行,2.45,2019-7-9,40,3.08,2019-7-12,50,,,,2.96,2019-7-12,10,,,
13,华夏银行,2.5,2019-7-12,1.1,3.08,2019-7-12,31.7,2.65,2019-7-12,0.5,2.97,2019-7-11,0.5,,,
14,广发银行,2.45,2019-7-9,10,3.06,2019-7-5,1,2.65,2019-7-11,5,,,,,,
15,恒丰银行,3,2019-6-24,10,,,,3.12,2019-6-27,5,,,,2.95,2019-6-28,10
16,浙商银行,,,,,,,,,,,,,,,
17,渤海银行,2.7,2019-7-12,4.5,3.2,2019-7-12,1,3,2019-7-12,4,3.1,2019-7-10,3,2.85,2019-6-27,18
18,鞍山银行,,,,,,,,,,,,,,,
19,包商银行,,,,,,,,,,,,,3.1,2019-6-28,5
20,保定银行,,,,,,,,,,,,,,,
21,北京银行,,,,3.1,2019-7-12,5,,,,,,,,,
22,沧州银行,,,,,,,,,,,,,,,
23,成都银行,2.7302,2019-7-12,10,3.1899,2019-7-10,1.9,,,,,,,,,
24,承德银行,3.5,2019-6-26,5,,,,,,,,,,3.31,2019-6-24,15
25,达州银行,,,,4.05,2019-7-12,3,3.72,2019-7-12,3,3.8,2019-7-12,3,,,
26,长城华西银行,3.55,2019-7-10,5,4,2019-7-2,0.5,3.7,2019-7-11,2.5,3.7,2019-6-26,2.5,,,
27,东莞银行,2.73,2019-7-12,10,3.2,2019-7-11,5,3,2019-7-10,5,3.15,2019-7-10,5,,,
28,东营银行,3.52,2019-6-26,3,4,2019-7-12,3,3.68,2019-7-10,2,,,,,,
29,抚顺银行,,,,,,,,,,,,,2.551,2019-7-5,3
